time	dest	src	seqn	hops
1668695503.774	1	3	0	1
1668695503.87	1	11	0	1
1668695504.076	1	16	0	1
1668695504.188	1	12	0	1
1668695504.542	1	23	0	3
1668695504.934	1	18	0	3
1668695505.154	1	7	0	1
1668695505.433	1	26	0	3
1668695505.626	1	33	0	2
1668695505.734	1	5	0	1
1668695505.766	1	29	0	3
1668695506.349	1	4	0	1
1668695506.503	1	20	0	3
1668695506.57	1	8	0	1
1668695507.283	1	14	0	2
1668695508.413	1	30	0	2
1668695508.971	1	17	0	2
1668695509.2	1	25	0	2
1668695509.732	1	15	0	2
1668695509.911	1	28	0	3
1668695509.932	1	22	0	2
1668695510.451	1	6	0	1
1668695511.279	1	24	0	2
1668695511.408	1	21	0	3
1668695511.744	1	27	0	3
1668695512.028	1	34	0	1
1668695514.282	1	2	0	1
1668695515.231	1	9	0	1
1668695515.241	1	13	0	1
1668695515.397	1	32	0	1
1668695516.225	1	36	0	1
1668695516.298	1	31	0	2
1668695516.768	1	10	0	1
1668695517.345	1	19	0	2
1668695517.663	1	35	0	1
1668695532.708	1	34	1	1
1668695533.008	1	12	1	1
1668695533.781	1	20	1	3
1668695533.905	1	3	1	1
1668695533.968	1	19	1	2
1668695534.341	1	36	1	1
1668695535.092	1	13	1	1
1668695536.147	1	5	1	1
1668695536.294	1	18	1	3
1668695536.332	1	25	1	2
1668695536.881	1	31	1	1
1668695536.919	1	26	1	2
1668695537.564	1	28	1	2
1668695537.703	1	15	1	2
1668695537.899	1	17	1	2
1668695538.712	1	16	1	1
1668695539.335	1	7	1	1
1668695540.225	1	35	1	1
1668695540.899	1	21	1	2
1668695542.105	1	9	1	1
1668695542.336	1	8	1	1
1668695543.61	1	2	1	1
1668695544.202	1	27	1	2
1668695544.322	1	33	1	2
1668695544.331	1	11	1	1
1668695544.341	1	6	1	1
1668695544.367	1	23	1	2
1668695544.928	1	30	1	2
1668695544.966	1	24	1	2
1668695545.775	1	14	1	2
1668695545.839	1	22	1	2
1668695545.908	1	10	1	1
1668695546.388	1	4	1	1
1668695546.998	1	29	1	2
1668695547.187	1	32	1	1
1668695562.797	1	8	2	1
1668695562.926	1	26	2	2
1668695563.862	1	33	2	2
1668695564.067	1	15	2	2
1668695564.517	1	12	2	1
1668695565.43	1	31	2	1
1668695565.743	1	16	2	1
1668695565.838	1	19	2	2
1668695566.142	1	30	2	2
1668695566.311	1	35	2	1
1668695567.886	1	2	2	1
1668695568.358	1	5	2	1
1668695568.698	1	9	2	1
1668695569.115	1	34	2	1
1668695569.551	1	18	2	3
1668695569.576	1	36	2	1
1668695569.905	1	32	2	1
1668695570.398	1	23	2	2
1668695570.584	1	20	2	3
1668695570.807	1	11	2	1
1668695571.607	1	17	2	2
1668695571.806	1	14	2	2
1668695571.947	1	29	2	2
1668695572.096	1	10	2	1
1668695572.177	1	4	2	1
1668695573.023	1	3	2	1
1668695573.678	1	21	2	2
1668695574.67	1	27	2	2
1668695574.912	1	6	2	1
1668695574.972	1	25	2	2
1668695576.186	1	13	2	1
1668695576.968	1	28	2	2
1668695577.055	1	24	2	2
1668695577.335	1	7	2	1
1668695592.872	1	25	3	2
