time	dest	src	seqn
1668695503.771	1	3	0
1668695503.866	1	11	0
1668695504.068	1	16	0
1668695504.184	1	12	0
1668695504.528	1	23	0
1668695504.925	1	18	0
1668695505.151	1	7	0
1668695505.421	1	26	0
1668695505.62	1	33	0
1668695505.73	1	5	0
1668695505.754	1	29	0
1668695506.345	1	4	0
1668695506.489	1	20	0
1668695506.568	1	8	0
1668695507.277	1	14	0
1668695508.407	1	30	0
1668695508.964	1	17	0
1668695509.193	1	25	0
1668695509.726	1	15	0
1668695509.899	1	28	0
1668695509.927	1	22	0
1668695510.447	1	6	0
1668695511.27	1	24	0
1668695511.398	1	21	0
1668695511.735	1	27	0
1668695512.025	1	34	0
1668695514.279	1	2	0
1668695515.228	1	9	0
1668695515.238	1	13	0
1668695515.394	1	32	0
1668695516.221	1	36	0
1668695516.292	1	31	0
1668695516.765	1	10	0
1668695517.339	1	19	0
1668695517.659	1	35	0
1668695532.705	1	34	1
1668695533.004	1	12	1
1668695533.763	1	20	1
1668695533.902	1	3	1
1668695533.957	1	19	1
1668695534.339	1	36	1
1668695535.089	1	13	1
1668695536.144	1	5	1
1668695536.285	1	18	1
1668695536.326	1	25	1
1668695536.878	1	31	1
1668695536.913	1	26	1
1668695537.555	1	28	1
1668695537.695	1	15	1
1668695537.894	1	17	1
1668695538.708	1	16	1
1668695539.331	1	7	1
1668695540.222	1	35	1
1668695540.89	1	21	1
1668695542.102	1	9	1
1668695542.332	1	8	1
1668695543.606	1	2	1
1668695544.196	1	27	1
1668695544.315	1	33	1
1668695544.327	1	11	1
1668695544.338	1	6	1
1668695544.356	1	23	1
1668695544.922	1	30	1
1668695544.958	1	24	1
1668695545.769	1	14	1
1668695545.832	1	22	1
1668695545.904	1	10	1
1668695546.385	1	4	1
1668695546.988	1	29	1
1668695547.183	1	32	1
1668695562.794	1	8	2
1668695562.92	1	26	2
1668695563.854	1	33	2
1668695564.062	1	15	2
1668695564.512	1	12	2
1668695565.424	1	31	2
1668695565.74	1	16	2
1668695565.832	1	19	2
1668695566.133	1	30	2
1668695566.307	1	35	2
1668695567.88	1	2	2
1668695568.355	1	5	2
1668695568.695	1	9	2
1668695569.112	1	34	2
1668695569.542	1	18	2
1668695569.572	1	36	2
1668695569.902	1	32	2
1668695570.388	1	23	2
1668695570.575	1	20	2
1668695570.803	1	11	2
1668695571.597	1	17	2
1668695571.8	1	14	2
1668695571.94	1	29	2
1668695572.092	1	10	2
1668695572.174	1	4	2
1668695573.019	1	3	2
1668695573.671	1	21	2
1668695573.739	1	22	2
1668695574.664	1	27	2
1668695574.908	1	6	2
1668695574.966	1	25	2
1668695576.182	1	13	2
1668695576.961	1	28	2
1668695577.043	1	24	2
1668695577.33	1	7	2
1668695592.865	1	25	3
1668695593.035	1	32	3
1668695595.037	1	26	3
1668695595.745	1	36	3
1668695598.203	1	27	3
1668695598.379	1	24	3
1668695598.4	1	14	3
1668695599.04	1	6	3
1668695599.065	1	29	3
1668695599.137	1	8	3
1668695599.408	1	31	3
1668695599.711	1	9	3
1668695600.593	1	21	3
1668695600.709	1	10	3
1668695601.234	1	30	3
1668695601.499	1	11	3
1668695601.51	1	33	3
1668695601.669	1	16	3
1668695602.137	1	12	3
1668695602.261	1	19	3
1668695602.363	1	5	3
1668695602.678	1	15	3
1668695602.689	1	7	3
1668695603.074	1	2	3
1668695603.692	1	22	3
1668695603.732	1	20	3
1668695603.736	1	4	3
1668695605.237	1	17	3
1668695605.758	1	28	3
1668695606.308	1	18	3
1668695606.877	1	35	3
1668695607.184	1	23	3
1668695607.197	1	34	3
1668695607.215	1	3	3
1668695607.323	1	13	3
1668695623.118	1	28	4
1668695623.252	1	36	4
1668695623.717	1	10	4
1668695625.309	1	8	4
1668695625.752	1	35	4
1668695626.352	1	27	4
1668695626.937	1	30	4
1668695627.371	1	22	4
1668695627.431	1	4	4
1668695628.836	1	9	4
1668695629.153	1	20	4
1668695629.167	1	17	4
1668695629.387	1	24	4
1668695630.117	1	21	4
1668695630.127	1	31	4
1668695630.487	1	13	4
1668695631.466	1	26	4
1668695631.72	1	6	4
1668695632.525	1	34	4
1668695632.526	1	19	4
1668695633.113	1	23	4
1668695633.558	1	33	4
1668695634.059	1	2	4
1668695634.115	1	11	4
1668695634.449	1	29	4
1668695634.854	1	32	4
1668695635.042	1	14	4
1668695635.138	1	16	4
1668695635.973	1	12	4
1668695636.221	1	7	4
1668695636.386	1	18	4
1668695636.59	1	3	4
1668695636.663	1	15	4
1668695637.402	1	5	4
1668695637.403	1	25	4
1668695653.002	1	13	5
1668695653.23	1	29	5
1668695653.333	1	20	5
1668695653.372	1	8	5
1668695653.497	1	16	5
1668695654.064	1	19	5
1668695654.683	1	22	5
1668695655.205	1	14	5
1668695657.573	1	7	5
1668695657.683	1	24	5
1668695657.873	1	10	5
1668695657.908	1	6	5
1668695658.704	1	28	5
1668695658.841	1	26	5
1668695659.209	1	15	5
1668695659.343	1	21	5
1668695659.581	1	33	5
1668695660.111	1	36	5
1668695660.423	1	4	5
1668695660.457	1	2	5
1668695660.837	1	17	5
1668695660.902	1	5	5
1668695661.262	1	12	5
1668695662.187	1	27	5
1668695663.33	1	34	5
1668695663.82	1	9	5
1668695664.034	1	32	5
1668695665.338	1	31	5
1668695665.742	1	30	5
1668695666.213	1	35	5
1668695666.889	1	11	5
1668695666.925	1	18	5
1668695667.13	1	25	5
1668695667.222	1	3	5
1668695667.473	1	23	5
1668695683.143	1	29	6
1668695683.394	1	22	6
1668695683.557	1	35	6
1668695683.931	1	36	6
1668695683.965	1	12	6
1668695684.971	1	7	6
1668695685.013	1	15	6
1668695686.168	1	8	6
1668695686.77	1	24	6
1668695687.136	1	18	6
1668695687.483	1	9	6
1668695687.951	1	26	6
1668695687.984	1	27	6
1668695688.053	1	11	6
1668695688.218	1	21	6
1668695688.765	1	30	6
1668695689.168	1	23	6
1668695690.802	1	20	6
1668695690.868	1	34	6
1668695691.447	1	31	6
1668695691.456	1	5	6
1668695691.654	1	10	6
1668695692.331	1	13	6
1668695692.658	1	33	6
1668695692.689	1	14	6
1668695693.736	1	4	6
1668695693.839	1	3	6
1668695693.926	1	2	6
1668695694.157	1	28	6
1668695694.884	1	6	6
1668695696.489	1	25	6
1668695696.736	1	19	6
1668695696.893	1	32	6
1668695697.126	1	17	6
1668695697.442	1	16	6
1668695712.88	1	10	7
1668695713.581	1	5	7
1668695713.676	1	15	7
1668695713.993	1	28	7
1668695714.752	1	20	7
1668695715.298	1	6	7
1668695715.903	1	26	7
1668695716.519	1	23	7
1668695717.095	1	33	7
1668695717.512	1	12	7
1668695717.935	1	11	7
1668695718.038	1	9	7
